job_id,label,role,easting_m,northing_m,h_ellipsoid_m,H_orthometric_EGM08IGN_m,geoid_separation_N_m,horizontal_precision_m,vertical_precision_m,metashape_z_use
1,E1,GCP,458959.26457371,4462779.62929390,586.25523655183,535.04365234275,51.21158420908,0.01270449465,0.02366603725,h_ellipsoid_m
2,C2,CHECK_POINT,458958.65599243,4462774.75399180,586.31980273008,535.10820422906,51.21159850102,0.01167669133,0.02145481296,h_ellipsoid_m
3,E3,GCP,458955.76846321,4462771.46881910,586.36660741895,535.15503922849,51.21156819046,0.01106510082,0.01838487387,h_ellipsoid_m
4,E4,GCP,458960.97966021,4462768.07373050,586.31578661195,535.10411762094,51.21166899101,0.01042989154,0.01751285233,h_ellipsoid_m
5,C5,CHECK_POINT,458961.62358868,4462772.60975850,586.28476336478,535.07310641573,51.21165694905,0.01087553130,0.01770856045,h_ellipsoid_m
6,E6,GCP,458965.95645822,4462774.80956620,586.26396011814,535.05224418150,51.21171593664,0.01071907452,0.01740073040,h_ellipsoid_m
